,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,1989-06-09,0.0,6.3125,5.75,6.1875,8359600,0.0,0.0
1,1989-06-12,0.0,6.3125,6.0,6.0,1114400,0.0,0.0
2,1989-06-13,0.0,6.0625,5.75,5.8125,558800,0.0,0.0
3,1989-06-14,0.0,6.0,5.5,5.6875,1048000,0.0,0.0
4,1989-06-15,0.0,5.75,5.6875,5.75,499400,0.0,0.0
5,1989-06-16,0.0,5.75,5.6875,5.6875,140200,0.0,0.0
6,1989-06-19,0.0,5.75,5.5625,5.625,393200,0.0,0.0
7,1989-06-20,0.0,5.6875,5.375,5.375,328000,0.0,0.0
8,1989-06-21,0.0,5.4375,5.3125,5.3125,284800,0.0,0.0
9,1989-06-22,0.0,5.75,5.3125,5.625,564000,0.0,0.0
10,1989-06-23,0.0,5.8125,5.625,5.8125,419400,0.0,0.0
11,1989-06-26,0.0,5.75,5.5625,5.5625,38200,0.0,0.0
12,1989-06-27,0.0,5.6875,5.625,5.625,74600,0.0,0.0
13,1989-06-28,0.0,5.625,5.375,5.4375,247200,0.0,0.0
14,1989-06-29,0.0,5.4375,5.25,5.3125,277000,0.0,0.0
15,1989-06-30,0.0,5.3125,5.25,5.3125,150800,0.0,0.0
16,1989-07-03,0.0,5.3125,5.25,5.3125,35000,0.0,0.0
17,1989-07-05,0.0,5.5625,5.375,5.5,145200,0.0,0.0
18,1989-07-06,0.0,5.5625,5.4375,5.4375,82600,0.0,0.0
19,1989-07-07,0.0,5.625,5.4375,5.5,134600,0.0,0.0
20,1989-07-10,0.0,5.875,5.5,5.75,206000,0.0,0.0
21,1989-07-11,0.0,6.0625,5.8125,5.8125,265400,0.0,0.0
22,1989-07-12,0.0,6.0,5.75,5.9375,233000,0.0,0.0
23,1989-07-13,0.0,6.25,5.9375,6.125,583400,0.0,0.0
24,1989-07-14,0.0,6.25,6.125,6.1875,79200,0.0,0.0
25,1989-07-17,0.0,6.1875,6.125,6.125,826200,0.0,0.0
26,1989-07-18,0.0,6.25,6.125,6.25,314000,0.0,0.0
27,1989-07-19,0.0,6.6875,6.125,6.5625,499200,0.0,0.0
28,1989-07-20,0.0,6.625,6.375,6.375,151600,0.0,0.0
29,1989-07-21,0.0,6.6875,6.375,6.5625,520000,0.0,0.0
30,1989-07-24,0.0,6.6875,6.5,6.625,112800,0.0,0.0
31,1989-07-25,0.0,6.875,6.5,6.875,344200,0.0,0.0
32,1989-07-26,0.0,6.875,6.75,6.875,37600,0.0,0.0
33,1989-07-27,0.0,6.875,6.625,6.625,69600,0.0,0.0
34,1989-07-28,0.0,6.75,6.4375,6.5625,356000,0.0,0.0
35,1989-07-31,0.0,6.5625,6.4375,6.4375,64800,0.0,0.0
36,1989-08-01,0.0,6.5625,6.375,6.4375,22200,0.0,0.0
37,1989-08-02,0.0,6.4375,6.3125,6.4375,41600,0.0,0.0
38,1989-08-03,0.0,6.5625,6.375,6.4375,127800,0.0,0.0
39,1989-08-04,0.0,6.75,6.4375,6.5625,181800,0.0,0.0
40,1989-08-07,0.0,7.4375,6.75,7.3125,752200,0.0,0.0
41,1989-08-08,0.0,7.3125,7.1875,7.25,288400,0.0,0.0
42,1989-08-09,0.0,7.4375,7.25,7.25,399000,0.0,0.0
43,1989-08-10,0.0,7.3125,7.25,7.25,21000,0.0,0.0
44,1989-08-11,0.0,7.375,7.25,7.25,27000,0.0,0.0
45,1989-08-14,0.0,7.3125,7.125,7.25,96000,0.0,0.0
46,1989-08-15,0.0,7.1875,7.125,7.125,139000,0.0,0.0
47,1989-08-16,0.0,7.1875,7.0625,7.125,275400,0.0,0.0
48,1989-08-17,0.0,7.125,6.9375,7.0,596000,0.0,0.0
49,1989-08-18,0.0,7.0625,6.9375,7.0,50400,0.0,0.0
50,1989-08-21,0.0,7.0,6.8125,6.8125,60400,0.0,0.0
51,1989-08-22,0.0,6.9375,6.8125,6.9375,175000,0.0,0.0
52,1989-08-23,0.0,7.375,6.875,7.3125,175200,0.0,0.0
53,1989-08-24,0.0,7.4375,7.3125,7.4375,78000,0.0,0.0
54,1989-08-25,0.0,7.4375,7.1875,7.25,87600,0.0,0.0
55,1989-08-28,0.0,7.25,7.1875,7.1875,16800,0.0,0.0
56,1989-08-29,0.0,7.375,7.25,7.375,65400,0.0,0.0
57,1989-08-30,0.0,7.8125,7.3125,7.75,170000,0.0,0.0
58,1989-08-31,0.0,7.75,7.5625,7.625,132600,0.0,0.0
59,1989-09-01,0.0,7.6875,7.5625,7.6875,68400,0.0,0.0
60,1989-09-05,0.0,7.6875,7.5625,7.625,20800,0.0,0.0
61,1989-09-06,0.0,7.6875,7.5625,7.5625,48000,0.0,0.0
62,1989-09-07,0.0,7.625,7.5625,7.5625,33400,0.0,0.0
63,1989-09-08,0.0,7.5625,7.375,7.5,280200,0.0,0.0
64,1989-09-11,0.0,7.5625,7.4375,7.5625,5200,0.0,0.0
65,1989-09-12,0.0,7.5625,7.4375,7.4375,101800,0.0,0.0
66,1989-09-13,0.0,7.6875,7.5,7.5625,96200,0.0,0.0
67,1989-09-14,0.0,7.5,7.375,7.375,135600,0.0,0.0
68,1989-09-15,0.0,7.375,7.125,7.125,125400,0.0,0.0
69,1989-09-18,0.0,7.1875,6.875,6.875,37200,0.0,0.0
70,1989-09-19,0.0,7.0,6.875,6.875,13800,0.0,0.0
71,1989-09-20,0.0,6.9375,6.875,6.875,107400,0.0,0.0
72,1989-09-21,0.0,7.125,6.8125,6.8125,73000,0.0,0.0
73,1989-09-22,0.0,6.875,6.8125,6.875,109600,0.0,0.0
74,1989-09-25,0.0,6.875,6.625,6.625,67200,0.0,0.0
75,1989-09-26,0.0,6.8125,6.625,6.75,30600,0.0,0.0
76,1989-09-27,0.0,6.625,6.4375,6.4375,287800,0.0,0.0
77,1989-09-28,0.0,6.75,6.5625,6.75,292200,0.0,0.0
78,1989-09-29,0.0,6.875,6.75,6.75,12400,0.0,0.0
79,1989-10-02,0.0,7.0,6.875,7.0,55800,0.0,0.0
80,1989-10-03,0.0,7.0625,7.0,7.0,3600,0.0,0.0
81,1989-10-04,0.0,7.125,6.875,6.875,78200,0.0,0.0
82,1989-10-05,0.0,6.875,6.375,6.5,146000,0.0,0.0
83,1989-10-06,0.0,6.625,6.5,6.5625,168600,0.0,0.0
84,1989-10-09,0.0,6.6875,6.5,6.5625,26600,0.0,0.0
85,1989-10-10,0.0,7.0625,6.625,7.0625,678400,0.0,0.0
86,1989-10-11,0.0,7.3125,6.9375,6.9375,396600,0.0,0.0
87,1989-10-12,0.0,6.9375,6.5,6.6875,626200,0.0,0.0
88,1989-10-13,0.0,6.6875,6.4375,6.5,60400,0.0,0.0
89,1989-10-16,0.0,6.25,5.875,6.0625,959400,0.0,0.0
90,1989-10-17,0.0,6.5,6.1875,6.375,441400,0.0,0.0
91,1989-10-18,0.0,6.4375,6.3125,6.375,83600,0.0,0.0
92,1989-10-19,0.0,7.0,6.3125,7.0,754800,0.0,0.0
93,1989-10-20,0.0,7.0,6.5625,6.5625,177600,0.0,0.0
94,1989-10-23,0.0,6.625,6.5,6.5,46800,0.0,0.0
95,1989-10-24,0.0,6.5,6.25,6.375,58200,0.0,0.0
96,1989-10-25,0.0,6.5,6.375,6.4375,129600,0.0,0.0
97,1989-10-26,0.0,6.4375,6.125,6.125,248800,0.0,0.0
98,1989-10-27,0.0,6.25,6.0,6.125,129400,0.0,0.0
99,1989-10-30,0.0,6.1875,6.0,6.1875,81600,0.0,0.0
100,1989-10-31,0.0,6.6875,6.1875,6.5625,252800,0.0,0.0
101,1989-11-01,0.0,6.5625,6.375,6.375,265400,0.0,0.0
102,1989-11-02,0.0,6.3125,5.9375,6.0625,459600,0.0,0.0
103,1989-11-03,0.0,6.0,5.5625,5.75,883600,0.0,0.0
104,1989-11-06,0.0,5.5625,5.3125,5.3125,254200,0.0,0.0
105,1989-11-07,0.0,5.5,5.3125,5.375,774000,0.0,0.0
106,1989-11-08,0.0,5.625,5.4375,5.625,346200,0.0,0.0
107,1989-11-09,0.0,5.625,5.4375,5.5,136800,0.0,0.0
108,1989-11-10,0.0,5.625,5.5,5.5625,121000,0.0,0.0
109,1989-11-13,0.0,5.6875,5.5625,5.5625,324600,0.0,0.0
110,1989-11-14,0.0,5.5,5.25,5.25,114000,0.0,0.0
111,1989-11-15,0.0,5.4375,5.25,5.375,273800,0.0,0.0
112,1989-11-16,0.0,5.4375,5.25,5.25,285600,0.0,0.0
113,1989-11-17,0.0,5.3125,5.1875,5.25,89200,0.0,0.0
114,1989-11-20,0.0,5.3125,5.0,5.0625,127200,0.0,0.0
115,1989-11-21,0.0,5.0625,4.625,4.8125,234200,0.0,0.0
116,1989-11-22,0.0,5.0625,4.8125,5.0625,274200,0.0,0.0
117,1989-11-24,0.0,5.125,5.0625,5.0625,94800,0.0,0.0
118,1989-11-27,0.0,5.125,5.0,5.0,352400,0.0,0.0
119,1989-11-28,0.0,5.1875,5.0,5.125,214000,0.0,0.0
120,1989-11-29,0.0,5.1875,5.0,5.0625,129600,0.0,0.0
121,1989-11-30,0.0,5.0625,4.9375,5.0,231800,0.0,0.0
122,1989-12-01,0.0,5.0625,4.9375,4.9375,318400,0.0,0.0
123,1989-12-04,0.0,5.0625,4.9375,5.0,130800,0.0,0.0
124,1989-12-05,0.0,5.25,5.0,5.25,766400,0.0,0.0
125,1989-12-06,0.0,5.3125,5.1875,5.1875,646800,0.0,0.0
126,1989-12-07,0.0,5.4375,5.1875,5.1875,613600,0.0,0.0
127,1989-12-08,0.0,5.1875,4.9375,5.0,351000,0.0,0.0
128,1989-12-11,0.0,5.0,4.6875,4.75,190400,0.0,0.0
129,1989-12-12,0.0,4.8125,4.4375,4.625,461200,0.0,0.0
130,1989-12-13,0.0,4.625,4.5625,4.625,663800,0.0,0.0
131,1989-12-14,0.0,4.75,4.5625,4.625,58600,0.0,0.0
132,1989-12-15,0.0,5.0,4.625,4.9375,297600,0.0,0.0
133,1989-12-18,0.0,5.0625,4.875,4.9375,232000,0.0,0.0
134,1989-12-19,0.0,4.9375,4.8125,4.9375,127400,0.0,0.0
135,1989-12-20,0.0,4.9375,4.75,4.875,350800,0.0,0.0
136,1989-12-21,0.0,4.9375,4.8125,4.9375,93600,0.0,0.0
137,1989-12-22,0.0,5.125,4.875,5.125,149200,0.0,0.0
138,1989-12-26,0.0,5.125,5.0,5.0625,31400,0.0,0.0
139,1989-12-27,0.0,5.375,5.0625,5.375,254400,0.0,0.0
140,1989-12-28,0.0,5.375,5.25,5.3125,276800,0.0,0.0
141,1989-12-29,0.0,5.3125,5.1875,5.25,271600,0.0,0.0
142,1990-01-02,0.0,5.875,5.3125,5.875,485000,0.0,0.0
143,1990-01-03,0.0,6.25,6.0,6.25,781200,0.0,0.0
144,1990-01-04,0.0,6.5625,6.125,6.4375,347000,0.0,0.0
145,1990-01-05,0.0,6.75,6.375,6.4375,414400,0.0,0.0
146,1990-01-08,0.0,6.4375,6.1875,6.25,119600,0.0,0.0
147,1990-01-09,0.0,6.375,6.25,6.25,127200,0.0,0.0
148,1990-01-10,0.0,6.3125,6.125,6.25,94600,0.0,0.0
149,1990-01-11,0.0,6.25,6.125,6.1875,59200,0.0,0.0
150,1990-01-12,0.0,6.1875,6.0,6.0625,72000,0.0,0.0
151,1990-01-15,0.0,6.125,5.9375,5.9375,30400,0.0,0.0
152,1990-01-16,0.0,6.125,5.8125,6.0625,137200,0.0,0.0
153,1990-01-17,0.0,6.125,6.0,6.125,560200,0.0,0.0
154,1990-01-18,0.0,6.0625,5.9375,5.9375,74400,0.0,0.0
155,1990-01-19,0.0,6.0,6.0,6.0,9400,0.0,0.0
156,1990-01-22,0.0,6.0625,5.5625,5.5625,66600,0.0,0.0
157,1990-01-23,0.0,6.0,5.6875,6.0,398200,0.0,0.0
158,1990-01-24,0.0,5.9375,5.75,5.9375,172800,0.0,0.0
159,1990-01-25,0.0,6.1875,5.9375,6.0625,428400,0.0,0.0
160,1990-01-26,0.0,6.3125,6.0,6.1875,244600,0.0,0.0
161,1990-01-29,0.0,6.375,6.125,6.25,605800,0.0,0.0
162,1990-01-30,0.0,6.3125,6.0625,6.1875,99400,0.0,0.0
163,1990-01-31,0.0,6.3125,6.125,6.1875,338000,0.0,0.0
164,1990-02-01,0.0,6.25,6.125,6.125,292600,0.0,0.0
165,1990-02-02,0.0,6.1875,6.0,6.0625,78800,0.0,0.0
166,1990-02-05,0.0,6.3125,6.0625,6.3125,402800,0.0,0.0
167,1990-02-06,0.0,6.25,6.1875,6.1875,35200,0.0,0.0
168,1990-02-07,0.0,6.8125,6.1875,6.5625,1394000,0.0,0.0
169,1990-02-08,0.0,6.75,6.5625,6.75,837800,0.0,0.0
170,1990-02-09,0.0,6.9375,6.75,6.8125,1095000,0.0,0.0
171,1990-02-12,0.0,6.875,6.5625,6.625,159000,0.0,0.0
172,1990-02-13,0.0,6.75,6.4375,6.5625,244800,0.0,0.0
173,1990-02-14,0.0,6.625,6.4375,6.5625,251200,0.0,0.0
174,1990-02-15,0.0,6.8125,6.4375,6.6875,438800,0.0,0.0
175,1990-02-16,0.0,7.0,6.75,6.875,430800,0.0,0.0
176,1990-02-20,0.0,6.9375,6.75,6.9375,192600,0.0,0.0
177,1990-02-21,0.0,6.875,6.75,6.8125,232400,0.0,0.0
178,1990-02-22,0.0,7.1875,6.875,6.875,633000,0.0,0.0
179,1990-02-23,0.0,6.875,6.625,6.75,229800,0.0,0.0
180,1990-02-26,0.0,6.6875,6.5,6.5,168600,0.0,0.0
