,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,1993-12-14,7.773172958121115,8.225101618476995,7.750576525103321,8.179908752441406,1077400,0.0,0.0
1,1993-12-15,8.134713577011885,8.134713577011885,7.863556457778155,7.9991350173950195,897800,0.0,0.0
2,1993-12-16,8.021731443997831,8.021731443997831,7.953942164189398,7.9991350173950195,571200,0.0,0.0
3,1993-12-17,7.999132641478082,7.999132641478082,7.818361282348633,7.818361282348633,1053000,0.0,0.0
4,1993-12-20,7.818367105906083,8.066927909851074,7.818367105906083,8.066927909851074,1284800,0.0,0.0
5,1993-12-21,8.044330154334641,8.270294484512581,8.044330154334641,8.179908752441406,882800,0.0,0.0
6,1993-12-22,8.2025051854592,8.2025051854592,8.112119453388024,8.179908752441406,200600,0.0,0.0
7,1993-12-23,8.20249904849665,8.360673961277577,8.20249904849665,8.338077545166016,195800,0.0,0.0
8,1993-12-27,8.383272683178937,8.586640484118588,8.383272683178937,8.541447639465332,68400,0.0,0.0
9,1993-12-28,8.51885612467502,8.51885612467502,8.451066818643122,8.496259689331055,273600,0.0,0.0
10,1993-12-29,8.541451236394447,8.609240531921387,8.541451236394447,8.609240531921387,264400,0.0,0.0
11,1993-12-30,8.609240387500734,8.699626113353759,8.609240387500734,8.654433250427246,156200,0.0,0.0
12,1993-12-31,8.609238692333824,8.631835119347823,8.541449411291826,8.586642265319824,133000,0.0,0.0
13,1994-01-03,8.60924291229248,8.60924291229248,8.360682093302408,8.473664283752441,467800,0.0,0.0
14,1994-01-04,8.473658495662615,8.473658495662615,8.06692288787081,8.157308578491211,2250200,0.0,0.0
15,1994-01-05,7.953943043023768,8.021732330322266,7.86355732662577,8.021732330322266,2933400,0.0,0.0
16,1994-01-06,7.953938714389143,8.021727964795868,7.773167379971208,7.863553047180176,2753200,0.0,0.0
17,1994-01-07,7.840961925997705,7.840961925997705,7.502015445046796,7.547208309173584,3428400,0.0,0.0
18,1994-01-10,7.569796184061568,7.773163842737849,7.547199777541981,7.750567436218262,1411000,0.0,0.0
19,1994-01-11,7.7731677272863555,7.7731677272863555,7.66018563822696,7.727974891662598,1185400,0.0,0.0
20,1994-01-12,7.705382701896486,7.705382701896486,7.5472076904206045,7.592400550842285,2209200,0.0,0.0
21,1994-01-13,7.569804741236978,7.592401173300372,7.52461187711019,7.547208309173584,1033400,0.0,0.0
22,1994-01-14,7.569800376892091,7.6149932149630875,7.524607538821093,7.56980037689209,1366000,0.0,0.0
23,1994-01-17,7.547203957856592,7.5923967959275895,7.502011119785594,7.56980037689209,1157400,0.0,0.0
24,1994-01-18,7.569803855082652,7.569803855082652,7.502014566828181,7.524610996246338,1118400,0.0,0.0
25,1994-01-19,7.502014222229726,7.682785649271406,7.502014222229726,7.637592792510986,1327800,0.0,0.0
26,1994-01-20,7.637593411263965,7.660189841474805,7.524611260209765,7.592400550842285,1121400,0.0,0.0
27,1994-01-21,7.6149969810531255,7.6149969810531255,7.5472076904206045,7.592400550842285,1460800,0.0,0.0
28,1994-01-24,7.592400284500809,7.592400284500809,7.502014566828181,7.524610996246338,2101400,0.0,0.0
29,1994-01-25,7.502014566828181,7.569803855082652,7.456821707991866,7.524610996246338,1470400,0.0,0.0
30,1994-01-26,7.502014566828181,7.547207425664495,7.502014566828181,7.524610996246338,723600,0.0,0.0
31,1994-01-27,7.524610996246338,7.569803855082652,7.502014566828181,7.524610996246338,1610600,0.0,0.0
32,1994-01-28,7.5698031034580495,7.7957673752030665,7.547206676283548,7.7731709480285645,1285200,0.0,0.0
33,1994-01-31,7.77317242213658,8.021733168193272,7.77317242213658,7.908751010894775,1316000,0.0,0.0
34,1994-02-01,7.637592792510986,7.682785649271406,7.592399935750566,7.637592792510986,3041400,0.0,0.0
35,1994-02-02,7.6149969810531255,7.6149969810531255,7.524611260209765,7.592400550842285,3352000,0.0,0.0
36,1994-02-03,7.6149928026032025,7.750571309474476,7.592396384791324,7.727974891662598,2135600,0.0,0.0
37,1994-02-04,7.705383300781251,7.818365460616753,7.6827868688141505,7.70538330078125,1256600,0.0,0.0
38,1994-02-07,7.705378129564483,7.886149463982418,7.705378129564483,7.863553047180176,799400,0.0,0.0
39,1994-02-08,7.773163842737849,7.818356655777022,7.727971029698675,7.750567436218262,916600,0.0,0.0
40,1994-02-09,7.705381599370984,7.795767307281494,7.705381599370984,7.795767307281494,769800,0.0,0.0
41,1994-02-10,7.7731677272863555,7.840956980721992,7.727974891662598,7.727974891662598,977600,0.0,0.0
42,1994-02-11,7.727974891662598,7.750571309474476,7.68278205603884,7.727974891662598,690800,0.0,0.0
43,1994-02-14,7.750574520854063,7.7957673752030665,7.727978093679561,7.7731709480285645,616800,0.0,0.0
44,1994-02-15,7.750574453326239,7.863556588214377,7.750574453326239,7.795767307281494,701200,0.0,0.0
45,1994-02-16,7.795765276257518,7.886150960619924,7.773168855166916,7.840958118438721,668800,0.0,0.0
46,1994-02-17,7.886150960619924,7.9539402238917285,7.840958118438721,7.840958118438721,995000,0.0,0.0
47,1994-02-18,7.840960161236749,7.863556588214377,7.773170880303867,7.795767307281494,434000,0.0,0.0
48,1994-02-22,7.6827826499938965,7.750571908670313,7.61499339131748,7.6827826499938965,1151800,0.0,0.0
49,1994-02-23,7.682778216659502,7.750567436218262,7.682778216659502,7.750567436218262,1016000,0.0,0.0
50,1994-02-24,7.727977474178888,7.727977474178888,7.637591772726504,7.6601881980896,537800,0.0,0.0
51,1994-02-25,7.6149932149630875,7.637589633998586,7.569800376892091,7.56980037689209,651200,0.0,0.0
