,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2001-02-01,14.375,15.375,14.25,15.0,497600,0.0,0.0
1,2001-02-02,15.3125,15.3125,14.25,14.375,336900,0.0,0.0
2,2001-02-05,14.5,14.5,13.875,14.0625,91400,0.0,0.0
3,2001-02-06,14.0,14.375,13.9375,14.0,245400,0.0,0.0
4,2001-02-07,14.0,14.0625,14.0,14.0,205300,0.0,0.0
5,2001-02-08,14.0625,14.0625,12.0,12.125,432000,0.0,0.0
6,2001-02-09,12.359375,12.375,10.875,11.3125,108800,0.0,0.0
7,2001-02-12,11.5,11.875,11.25,11.625,28300,0.0,0.0
8,2001-02-13,11.875,12.125,11.125,11.5,35900,0.0,0.0
9,2001-02-14,11.125,11.5,10.875,11.0625,71900,0.0,0.0
10,2001-02-15,11.25,11.25,11.0,11.0,21000,0.0,0.0
11,2001-02-16,11.0,11.125,10.875,11.0,20600,0.0,0.0
12,2001-02-20,11.0625,11.125,10.8125,11.0,136200,0.0,0.0
13,2001-02-21,11.0,11.125,10.25,11.0,62700,0.0,0.0
14,2001-02-22,11.0,11.3125,11.0,11.0625,20000,0.0,0.0
15,2001-02-23,11.0,11.1875,11.0,11.0,42700,0.0,0.0
16,2001-02-26,11.0625,11.375,10.875,11.0,82800,0.0,0.0
17,2001-02-27,11.5,11.5,10.75,11.0,216100,0.0,0.0
18,2001-02-28,11.125,11.125,10.75,11.0,56400,0.0,0.0
19,2001-03-01,11.25,11.25,11.0,11.0,43100,0.0,0.0
20,2001-03-02,11.0,11.0625,10.875,11.0,97000,0.0,0.0
21,2001-03-05,11.125,11.125,9.75,10.125,52700,0.0,0.0
22,2001-03-06,10.375,10.375,9.625,10.0,13000,0.0,0.0
23,2001-03-07,9.5,10.0,8.75,9.25,24700,0.0,0.0
24,2001-03-08,9.25,9.375,9.125,9.25,6500,0.0,0.0
25,2001-03-09,9.25,9.3125,8.75,8.9375,28400,0.0,0.0
26,2001-03-12,8.9375,9.0,8.9375,8.9375,24000,0.0,0.0
27,2001-03-13,8.953125,9.0,8.75,8.875,8800,0.0,0.0
28,2001-03-14,9.0,9.125,8.875,8.96875,16200,0.0,0.0
29,2001-03-15,9.1875,9.1875,8.875,8.875,15000,0.0,0.0
30,2001-03-16,8.875,9.0,8.875,9.0,4200,0.0,0.0
31,2001-03-19,9.125,9.125,8.25,8.6875,44600,0.0,0.0
32,2001-03-20,8.5,8.5,8.375,8.375,51000,0.0,0.0
33,2001-03-21,8.375,8.5,8.375,8.5,2200,0.0,0.0
34,2001-03-22,8.4375,8.9375,8.125,8.375,10100,0.0,0.0
35,2001-03-23,8.921875,8.921875,7.78125,7.78125,14400,0.0,0.0
36,2001-03-26,8.125,8.25,7.78125,7.78125,43100,0.0,0.0
37,2001-03-27,8.0,8.0,7.625,7.625,10000,0.0,0.0
38,2001-03-28,7.78125,7.9375,7.5,7.65625,72000,0.0,0.0
39,2001-03-29,7.5625,7.5625,7.5,7.5,10000,0.0,0.0
40,2001-03-30,7.625,7.625,7.5,7.625,8200,0.0,0.0
41,2001-04-02,7.5,7.75,7.5,7.5,12800,0.0,0.0
42,2001-04-03,7.5,7.640625,6.8125,6.9375,45600,0.0,0.0
43,2001-04-04,7.0,7.0,6.4375,6.5,16500,0.0,0.0
44,2001-04-05,6.375,6.75,5.5,6.0625,229800,0.0,0.0
45,2001-04-06,6.0,6.03125,5.625,5.8125,22500,0.0,0.0
46,2001-04-09,5.699999809265137,5.75,5.300000190734863,5.300000190734863,6200,0.0,0.0
47,2001-04-10,5.650000095367432,5.860000133514404,5.449999809265137,5.5,38300,0.0,0.0
48,2001-04-11,5.650000095367432,5.849999904632568,5.5,5.5,149400,0.0,0.0
49,2001-04-12,5.5,5.789999961853027,5.429999828338623,5.550000190734863,208000,0.0,0.0
50,2001-04-16,5.650000095367432,5.650000095367432,5.449999809265137,5.53000020980835,45600,0.0,0.0
51,2001-04-17,5.460000038146973,5.579999923706055,5.460000038146973,5.5,24800,0.0,0.0
52,2001-04-18,5.5,5.690000057220459,5.449999809265137,5.650000095367432,176300,0.0,0.0
53,2001-04-19,5.889999866485596,6.079999923706055,5.630000114440918,6.0,159900,0.0,0.0
54,2001-04-20,5.949999809265137,6.099999904632568,5.849999904632568,5.849999904632568,242100,0.0,0.0
55,2001-04-23,5.849999904632568,6.650000095367432,5.849999904632568,5.909999847412109,181200,0.0,0.0
56,2001-04-24,6.139999866485596,6.150000095367432,5.949999809265137,6.050000190734863,17200,0.0,0.0
57,2001-04-25,6.099999904632568,6.199999809265137,5.949999809265137,5.949999809265137,53900,0.0,0.0
58,2001-04-26,6.0,6.050000190734863,5.949999809265137,6.0,97400,0.0,0.0
59,2001-04-27,5.900000095367432,6.0,5.900000095367432,6.0,18900,0.0,0.0
60,2001-04-30,6.150000095367432,7.050000190734863,6.150000095367432,6.349999904632568,30300,0.0,0.0
61,2001-05-01,6.300000190734863,7.050000190734863,6.300000190734863,6.949999809265137,18600,0.0,0.0
62,2001-05-02,7.050000190734863,7.150000095367432,6.800000190734863,7.0,78700,0.0,0.0
63,2001-05-03,7.0,7.5,6.949999809265137,7.099999904632568,13600,0.0,0.0
64,2001-05-04,7.050000190734863,7.159999847412109,6.849999904632568,7.0,19100,0.0,0.0
65,2001-05-07,7.210000038146973,7.210000038146973,6.949999809265137,6.949999809265137,3200,0.0,0.0
66,2001-05-08,7.0,7.079999923706055,6.960000038146973,7.079999923706055,3800,0.0,0.0
67,2001-05-09,7.199999809265137,7.199999809265137,7.0,7.050000190734863,1600,0.0,0.0
68,2001-05-10,7.199999809265137,7.210000038146973,7.150000095367432,7.199999809265137,3600,0.0,0.0
69,2001-05-11,7.400000095367432,7.400000095367432,7.150000095367432,7.150000095367432,3800,0.0,0.0
70,2001-05-14,7.150000095367432,7.400000095367432,7.050000190734863,7.050000190734863,19000,0.0,0.0
71,2001-05-15,7.400000095367432,7.400000095367432,7.25,7.300000190734863,1600,0.0,0.0
72,2001-05-16,7.25,7.340000152587891,7.25,7.300000190734863,9800,0.0,0.0
73,2001-05-17,7.380000114440918,7.380000114440918,7.199999809265137,7.300000190734863,7900,0.0,0.0
74,2001-05-18,7.300000190734863,7.300000190734863,7.070000171661377,7.070000171661377,23400,0.0,0.0
75,2001-05-21,7.300000190734863,8.760000228881836,7.099999904632568,8.1899995803833,113700,0.0,0.0
76,2001-05-22,8.350000381469727,8.640000343322754,7.900000095367432,8.34000015258789,62600,0.0,0.0
77,2001-05-23,8.350000381469727,9.149999618530273,8.100000381469727,8.75,39200,0.0,0.0
78,2001-05-24,8.84000015258789,9.149999618530273,8.699999809265137,9.050000190734863,74000,0.0,0.0
79,2001-05-25,9.149999618530273,10.0,9.149999618530273,9.850000381469727,44000,0.0,0.0
80,2001-05-29,9.850000381469727,9.850000381469727,9.25,9.25,93200,0.0,0.0
81,2001-05-30,9.899999618530273,9.9399995803833,8.949999809265137,9.0600004196167,126200,0.0,0.0
82,2001-05-31,9.039999961853027,9.449999809265137,8.989999771118164,9.210000038146973,56900,0.0,0.0
83,2001-06-01,9.539999961853027,9.800000190734863,9.449999809265137,9.800000190734863,32600,0.0,0.0
84,2001-06-04,9.5,9.899999618530273,9.5,9.899999618530273,14500,0.0,0.0
85,2001-06-05,9.9399995803833,10.850000381469727,9.9399995803833,10.739999771118164,52800,0.0,0.0
86,2001-06-06,10.600000381469727,10.899999618530273,10.5,10.619999885559082,19600,0.0,0.0
87,2001-06-07,10.520000457763672,11.890000343322754,10.520000457763672,11.850000381469727,57300,0.0,0.0
88,2001-06-08,11.84000015258789,13.319999694824219,11.210000038146973,13.319999694824219,63700,0.0,0.0
89,2001-06-11,13.229999542236328,14.0,13.0,13.609999656677246,81000,0.0,0.0
90,2001-06-12,13.850000381469727,13.850000381469727,12.399999618530273,12.569999694824219,34000,0.0,0.0
91,2001-06-13,13.039999961853027,13.149999618530273,12.449999809265137,13.0,25600,0.0,0.0
92,2001-06-14,13.100000381469727,13.149999618530273,12.449999809265137,13.149999618530273,29200,0.0,0.0
93,2001-06-15,13.100000381469727,13.149999618530273,12.510000228881836,12.510000228881836,10600,0.0,0.0
94,2001-06-18,12.449999809265137,12.5,11.260000228881836,11.319999694824219,31500,0.0,0.0
95,2001-06-19,11.550000190734863,11.550000190734863,11.149999618530273,11.149999618530273,11200,0.0,0.0
96,2001-06-20,11.149999618530273,12.600000381469727,11.0,12.550000190734863,31100,0.0,0.0
97,2001-06-21,12.399999618530273,12.399999618530273,11.539999961853027,11.710000038146973,49200,0.0,0.0
98,2001-06-22,11.9399995803833,12.4399995803833,11.800000190734863,12.079999923706055,11200,0.0,0.0
99,2001-06-25,12.979999542236328,13.010000228881836,11.699999809265137,12.050000190734863,56700,0.0,0.0
100,2001-06-26,12.050000190734863,12.489999771118164,12.050000190734863,12.100000381469727,61900,0.0,0.0
101,2001-06-27,12.0600004196167,12.649999618530273,12.020000457763672,12.649999618530273,49000,0.0,0.0
102,2001-06-28,12.729999542236328,13.699999809265137,12.3100004196167,13.550000190734863,358100,0.0,0.0
103,2001-06-29,13.449999809265137,14.149999618530273,12.710000038146973,13.760000228881836,339800,0.0,0.0
104,2001-07-02,13.789999961853027,13.789999961853027,13.100000381469727,13.199999809265137,84900,0.0,0.0
105,2001-07-03,13.0600004196167,13.800000190734863,12.960000038146973,13.800000190734863,25000,0.0,0.0
106,2001-07-05,14.0,15.09000015258789,13.710000038146973,14.899999618530273,148800,0.0,0.0
107,2001-07-06,14.979999542236328,15.569999694824219,14.949999809265137,15.170000076293945,287700,0.0,0.0
108,2001-07-09,15.1899995803833,15.1899995803833,14.649999618530273,14.699999809265137,121700,0.0,0.0
109,2001-07-10,14.649999618530273,14.649999618530273,12.90999984741211,13.539999961853027,60900,0.0,0.0
