,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2017-03-01,15.278950350710053,15.835326355598788,15.184793833724536,15.424464225769043,7162700,0.0,0.0
1,2017-03-02,15.407338987716297,15.724046118594545,15.244705507934471,15.587090492248535,738200,0.0,0.0
2,2017-03-03,15.621328035346268,16.066429280784984,15.621328035346268,16.023630142211914,415400,0.0,0.0
3,2017-03-06,16.186264816660344,16.41737528441534,15.749723366218793,15.801080703735352,226300,0.0,0.0
4,2017-03-07,16.074994070203754,16.074994070203754,15.801084396651815,15.997957229614258,185600,0.0,0.0
5,2017-03-08,15.878117629904821,16.186264922255084,15.783962782613612,15.826760292053223,169600,0.0,0.0
6,2017-03-09,16.032199452893714,16.032199452893714,15.664134806557895,15.783970832824707,104000,0.0,0.0
7,2017-03-10,15.878125542594297,15.997961567460774,15.67697518884266,15.809648513793945,109400,0.0,0.0
8,2017-03-13,15.672687776545805,16.2119455770622,15.672687776545805,16.08355140686035,133700,0.0,0.0
9,2017-03-14,15.861857935013923,16.494415163970505,15.861857935013923,16.391698837280273,227700,0.0,0.0
10,2017-03-15,16.74264277872537,16.828239440811128,16.22906443883135,16.263303756713867,437400,0.0,0.0
11,2017-03-16,16.288985534399835,16.716967272357177,16.288985534399835,16.425939559936523,78700,0.0,0.0
12,2017-03-17,16.46873699859266,16.828241721989645,16.263305961311637,16.477296829223633,189200,0.0,0.0
13,2017-03-20,16.434499308689535,16.77688437082458,16.391700155534682,16.477296829223633,104300,0.0,0.0
14,2017-03-21,16.477296479008608,16.571452981327287,15.946598419513395,16.46873664855957,101300,0.0,0.0
15,2017-03-22,16.40025740866552,16.477294239616224,15.835321736774034,16.254743576049805,90100,0.0,0.0
16,2017-03-23,16.357465560887086,16.357465560887086,16.05787796259642,16.306106567382812,78700,0.0,0.0
17,2017-03-24,16.263306712974913,16.425940237238493,16.246187050921726,16.288986206054688,105000,0.0,0.0
18,2017-03-27,16.211950201232934,16.24618789449624,15.843885611082088,16.109233856201172,113900,0.0,0.0
19,2017-03-28,15.886679795030526,16.28042379679471,15.843882279295986,16.06643295288086,404000,0.0,0.0
20,2017-03-29,15.938040637035858,16.22906671678373,15.843884132263426,15.912361145019531,199900,0.0,0.0
21,2017-03-30,15.835320926308858,16.173426818996784,15.749724270453376,15.869560241699219,236500,0.0,0.0
22,2017-03-31,15.878121488674351,16.323222878546225,15.869563290802846,15.98083782196045,463300,0.0,0.0
23,2017-04-03,16.066436219626606,16.485858163063234,15.48438074461385,15.71549129486084,336700,0.0,0.0
24,2017-04-04,15.604209116995346,15.920916226915189,15.450135476094896,15.578531265258789,204400,0.0,0.0
25,2017-04-05,15.612775976354335,15.938043060877703,14.825289393588566,15.878124237060547,544600,0.0,0.0
26,2017-04-06,15.818204722150274,16.092112774592927,15.467259825880525,15.861003875732422,236700,0.0,0.0
27,2017-04-07,15.929478342094157,15.989395514909043,15.604211357355465,15.792524337768555,90200,0.0,0.0
28,2017-04-10,15.878119948551344,15.920919096861153,15.578534073485546,15.706928253173828,114700,0.0,0.0
29,2017-04-11,15.621333643234072,15.876411049790878,15.407342771408947,15.664131164550781,101100,0.0,0.0
30,2017-04-12,15.706931463449369,15.957728156583926,15.54087432583283,15.71549129486084,712300,0.0,0.0
31,2017-04-13,15.672690878761019,16.186269293845353,15.501499162146757,15.938040733337402,92500,0.0,0.0
32,2017-04-17,15.826767573133617,16.160592871675334,15.70008434002422,15.818207740783691,71000,0.0,0.0
33,2017-04-18,15.818203908345195,15.989397248624792,15.552855700270438,15.741167068481445,59500,0.0,0.0
34,2017-04-19,15.88668476696202,16.092115845497005,15.552859468420303,15.818207740783691,111900,0.0,0.0
35,2017-04-20,15.835326709812163,16.23762901685842,15.689812831498237,15.878124237060547,66200,0.0,0.0
36,2017-04-21,15.997953490686083,16.11778782243149,15.698366028702235,15.801080703735352,26000,0.0,0.0
37,2017-04-24,15.835320926308858,16.083551065027716,15.64700958952313,15.869560241699219,90100,0.0,0.0
38,2017-04-25,15.912360891601768,16.134911587669993,15.706929856605116,15.92948055267334,59500,0.0,0.0
39,2017-04-26,15.98938764190108,16.066424435479682,15.664120817320384,15.946588516235352,39800,0.0,0.0
40,2017-04-27,15.809648413197118,16.074998326653564,15.783970547948591,16.015079498291016,56800,0.0,0.0
