,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2017-04-05,14.189533733732496,14.456630584584987,14.083807498931016,14.245179176330566,9768400,0.0,0.0
1,2017-04-06,14.256309987318996,14.62913311246686,14.245180685350725,14.506712913513184,859600,0.0,0.0
2,2017-04-07,14.534537173546704,14.707037120589257,14.395424073369128,14.4065523147583,357900,0.0,0.0
3,2017-04-10,14.47332565174511,14.718164981246009,14.273002467485409,14.462196350097656,786300,0.0,0.0
4,2017-04-11,14.506715988244165,14.635813158932049,14.306392755750936,14.428812980651855,185600,0.0,0.0
5,2017-04-12,14.36203777162594,14.55679634592908,14.36203777162594,14.378731727600098,332600,0.0,0.0
6,2017-04-13,14.428812433130345,14.49558613386168,13.955827630663224,14.161715507507324,303700,0.0,0.0
7,2017-04-17,14.217357150673733,14.345341998093176,14.028163266330521,14.072680473327637,382600,0.0,0.0
8,2017-04-18,14.04486003755884,14.45107008079043,14.028166081584681,14.378731727600098,181700,0.0,0.0
9,2017-04-19,14.434377697103734,14.534539313796452,14.22292515934158,14.328651428222656,174000,0.0,0.0
10,2017-04-20,14.362034030532149,14.362034030532149,14.039291728543176,14.178404808044434,30500,0.0,0.0
11,2017-04-21,14.195099451190265,14.311953934216623,14.055986364912055,14.156147956848145,207800,0.0,0.0
12,2017-04-24,14.362033722856244,14.412114515311707,14.067114679894674,14.150582313537598,160400,0.0,0.0
13,2017-04-25,14.25074715563096,14.284134004449394,14.089375440535756,14.189537048339844,63300,0.0,0.0
14,2017-04-26,14.278570619876298,14.57905546995445,14.22292515934158,14.328651428222656,179900,0.0,0.0
15,2017-04-27,14.278569352754856,14.640820430223053,14.117198699008439,14.189537048339844,47100,0.0,0.0
16,2017-04-28,14.35647180664905,14.35647180664905,14.139455705576637,14.234052658081055,261600,0.0,0.0
17,2017-05-01,14.400987003849805,14.629133454133157,14.306390057607475,14.54010009765625,330500,0.0,0.0
18,2017-05-02,14.439939258694231,14.656955340847647,14.409890355578266,14.618003845214844,88700,0.0,0.0
19,2017-05-03,14.801632034691602,14.90179362285459,14.362034189164836,14.501147270202637,310700,0.0,0.0
20,2017-05-04,14.384293764915286,14.467761406916226,13.477833028860799,13.989212036132812,267500,0.0,0.0
21,2017-05-05,13.889044879505622,14.178400246499047,13.6581177937298,14.106061935424805,477900,0.0,0.0
22,2017-05-08,14.022599144488266,14.189534418995839,13.653113982148499,14.117196083068848,96200,0.0,0.0
23,2017-05-09,14.05042451159951,14.05042451159951,13.660907367926526,13.838973045349121,103500,0.0,0.0
24,2017-05-10,13.844534294701813,14.412115958466048,13.777760605640522,13.989212036132812,170400,0.0,0.0
25,2017-05-11,14.028165983346979,14.189537705920575,13.633085246864866,14.161715507507324,192300,0.0,0.0
26,2017-05-12,14.20065902832599,14.217351913452148,13.886263268488399,14.217351913452148,257600,0.0,0.0
27,2017-05-15,14.35090337319805,14.456628531637241,14.200661017923343,14.434370994567871,104200,0.0,0.0
28,2017-05-16,14.495583549561566,14.495583549561566,14.245180624438108,14.300826072692871,60200,0.0,0.0
29,2017-05-17,14.211793403629153,14.46776097293372,13.911864774497595,14.156147956848145,28800,0.0,0.0
30,2017-05-18,14.089372825378762,14.133888969323538,13.7443729751439,13.905743598937988,728900,0.0,0.0
31,2017-05-19,14.02816104888916,14.133887276097825,13.7627337183518,14.02816104888916,41300,0.0,0.0
32,2017-05-22,14.039294110505283,14.039294110505283,13.77776185875581,13.928004264831543,24400,0.0,0.0
33,2017-05-23,13.966955985103457,13.966955985103457,13.727681274159428,13.744375228881836,22500,0.0,0.0
34,2017-05-24,13.688730649194799,13.966956877587585,13.498423374054322,13.733246803283691,65500,0.0,0.0
35,2017-05-25,13.772196651273461,13.855664297496286,13.449454307556152,13.449454307556152,72800,0.0,0.0
36,2017-05-26,13.466149101974137,13.57743895010235,13.076631980153461,13.432761192321777,56000,0.0,0.0
37,2017-05-30,13.271385273343578,13.4717073450014,13.243562026343637,13.282514572143555,83300,0.0,0.0
38,2017-05-31,13.271388749366958,13.377114992961701,12.831790883764196,12.931952476501465,152600,0.0,0.0
39,2017-06-01,12.95977826342679,13.034898411311312,12.84292269528084,12.898568153381348,29100,0.0,0.0
40,2017-06-02,12.977023318587946,13.280289857665927,12.87630559042413,12.98203182220459,26600,0.0,0.0
41,2017-06-05,13.043243292661337,13.051589738223134,12.810089411471255,12.920823097229004,75900,0.0,0.0
42,2017-06-06,12.803969797297192,13.18235759751525,12.803969797297192,12.848485946655273,88400,0.0,0.0
43,2017-06-07,12.848482480465748,12.904127917488825,12.219690846397313,12.381062507629395,145600,0.0,0.0
44,2017-06-08,12.442274171126643,12.979806889597995,12.35880547434098,12.648160934448242,131300,0.0,0.0
45,2017-06-09,12.72996128916417,12.803969131553615,12.37550055291739,12.570259094238281,54800,0.0,0.0
46,2017-06-12,12.63703156024671,12.81509719252376,12.356023608253047,12.742757797241211,129500,0.0,0.0
47,2017-06-13,12.709371219280515,12.709371219280515,12.241951180218818,12.464531898498535,66900,0.0,0.0
