,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,1993-11-05,13.75,16.5,13.75,15.25,3353000,0.0,0.0
1,1993-11-08,15.5,16.5,15.25,16.25,382200,0.0,0.0
2,1993-11-09,16.5,16.5,15.5,16.0,310800,0.0,0.0
3,1993-11-10,16.0,16.0,14.75,15.75,154500,0.0,0.0
4,1993-11-11,16.0,16.0,15.75,15.75,35000,0.0,0.0
5,1993-11-12,16.0,16.0,15.5,15.5,190800,0.0,0.0
6,1993-11-15,16.0,16.0,15.25,15.25,167300,0.0,0.0
7,1993-11-16,15.75,15.75,15.25,15.25,108800,0.0,0.0
8,1993-11-17,15.75,15.75,14.5,14.875,191600,0.0,0.0
9,1993-11-18,14.75,15.25,14.75,15.0,166300,0.0,0.0
10,1993-11-19,15.0,15.25,14.75,14.75,152900,0.0,0.0
11,1993-11-22,15.25,15.25,14.25,14.75,229700,0.0,0.0
12,1993-11-23,14.75,15.25,14.25,15.25,50100,0.0,0.0
13,1993-11-24,14.75,15.25,14.75,15.25,2400,0.0,0.0
14,1993-11-26,15.0,15.0,14.75,14.75,18200,0.0,0.0
15,1993-11-29,15.25,15.75,14.75,15.75,101400,0.0,0.0
16,1993-11-30,15.0,15.75,15.0,15.375,213800,0.0,0.0
17,1993-12-01,15.0,15.75,14.75,14.875,49000,0.0,0.0
18,1993-12-02,15.0,15.5,14.5,15.0,73500,0.0,0.0
19,1993-12-03,15.5,15.5,15.0,15.375,111500,0.0,0.0
20,1993-12-06,15.5,15.5,15.0,15.0,249000,0.0,0.0
21,1993-12-07,15.5,15.5,15.0,15.5,106200,0.0,0.0
22,1993-12-08,15.25,15.5,15.0,15.375,38100,0.0,0.0
23,1993-12-09,15.5,15.5,15.0,15.5,8100,0.0,0.0
24,1993-12-10,15.5,15.5,15.0,15.5,224800,0.0,0.0
25,1993-12-13,15.5,15.5,15.0,15.0,20900,0.0,0.0
26,1993-12-14,15.0,15.75,15.0,15.5,136600,0.0,0.0
27,1993-12-15,15.5,15.5,14.0,14.25,112000,0.0,0.0
28,1993-12-16,14.5,14.75,14.25,14.75,89000,0.0,0.0
29,1993-12-17,15.0,15.5,14.75,15.0,38800,0.0,0.0
30,1993-12-20,15.5,16.25,15.5,16.25,28600,0.0,0.0
31,1993-12-21,15.75,16.25,15.5,16.25,8100,0.0,0.0
32,1993-12-22,16.25,16.75,15.875,16.5,95500,0.0,0.0
33,1993-12-23,16.25,16.75,16.25,16.5,8100,0.0,0.0
34,1993-12-27,16.75,16.75,16.375,16.75,3400,0.0,0.0
35,1993-12-28,16.25,16.5,16.25,16.25,78400,0.0,0.0
36,1993-12-29,16.25,16.5,16.25,16.25,81600,0.0,0.0
37,1993-12-30,16.25,16.5,16.25,16.5,12300,0.0,0.0
38,1993-12-31,16.0,18.0,16.0,18.0,28400,0.0,0.0
39,1994-01-03,18.0,18.0,17.0,17.0,136200,0.0,0.0
40,1994-01-04,17.5,17.5,17.0,17.0,132400,0.0,0.0
41,1994-01-05,17.0,17.5,17.0,17.0,62200,0.0,0.0
42,1994-01-06,17.75,17.75,17.25,17.25,34800,0.0,0.0
