,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,1997-05-14,5.9375,7.625,5.625,7.5625,20703600,0.0,0.0
1,1997-05-15,8.0,8.6875,7.46875,7.875,8079600,0.0,0.0
2,1997-05-16,8.03125,8.125,7.375,7.9375,3877200,0.0,0.0
3,1997-05-19,7.625,7.71875,7.4375,7.59375,1365200,0.0,0.0
4,1997-05-20,7.625,8.0625,7.4375,8.0625,900400,0.0,0.0
5,1997-05-21,8.0625,8.0625,7.625,7.6875,663200,0.0,0.0
6,1997-05-22,7.65625,7.8125,7.59375,7.8125,837600,0.0,0.0
7,1997-05-23,7.71875,7.8125,7.625,7.6875,439600,0.0,0.0
8,1997-05-27,7.75,8.0,7.75,7.875,534400,0.0,0.0
9,1997-05-28,7.9375,7.9375,7.5625,7.6875,698000,0.0,0.0
10,1997-05-29,7.65625,7.6875,7.5,7.5,399200,0.0,0.0
11,1997-05-30,7.40625,7.9375,6.9375,7.875,1258000,0.0,0.0
12,1997-06-02,8.0625,8.21875,7.71875,8.0625,648000,0.0,0.0
13,1997-06-03,8.0,8.0,7.78125,7.90625,350400,0.0,0.0
14,1997-06-04,7.90625,7.9375,7.65625,7.6875,331600,0.0,0.0
15,1997-06-05,7.75,7.75,7.5625,7.59375,448400,0.0,0.0
16,1997-06-06,7.625,7.625,7.46875,7.59375,708400,0.0,0.0
17,1997-06-09,8.0,8.0,7.6875,7.75,574800,0.0,0.0
18,1997-06-10,7.71875,7.78125,7.5625,7.5625,884400,0.0,0.0
19,1997-06-11,7.59375,7.875,7.5625,7.875,310800,0.0,0.0
20,1997-06-12,7.875,7.9375,7.71875,7.90625,567600,0.0,0.0
21,1997-06-13,7.9375,8.65625,7.84375,8.3125,1183200,0.0,0.0
22,1997-06-16,8.46875,9.375,8.4375,9.0625,1476400,0.0,0.0
23,1997-06-17,9.25,9.9375,9.0625,9.84375,1694000,0.0,0.0
24,1997-06-18,9.875,11.3125,9.8125,10.9375,3771600,0.0,0.0
25,1997-06-19,11.65625,12.84375,11.5,12.828125,6112800,0.0,0.0
26,1997-06-20,13.125,13.25,11.75,11.90625,4411200,0.0,0.0
27,1997-06-23,11.75,11.875,10.625,11.125,3384800,0.0,0.0
28,1997-06-24,11.125,12.21875,11.125,12.03125,2508000,0.0,0.0
29,1997-06-25,12.0,12.3125,11.71875,12.0,1180400,0.0,0.0
30,1997-06-26,11.96875,12.1875,11.5625,11.78125,708800,0.0,0.0
31,1997-06-27,11.75,11.75,11.375,11.4375,809200,0.0,0.0
32,1997-06-30,11.375,11.9375,10.875,11.625,1830400,0.0,0.0
33,1997-07-01,11.625,11.875,11.25,11.84375,684000,0.0,0.0
34,1997-07-02,11.9375,11.96875,11.375,11.515625,748800,0.0,0.0
35,1997-07-03,11.53125,11.6875,11.4375,11.625,390000,0.0,0.0
36,1997-07-07,11.6875,12.125,11.65625,12.0,1276000,0.0,0.0
37,1997-07-08,12.15625,12.546875,12.0,12.4375,1365600,0.0,0.0
38,1997-07-09,12.5625,12.5625,12.03125,12.125,924800,0.0,0.0
39,1997-07-10,12.09375,12.1875,11.75,11.96875,524000,0.0,0.0
40,1997-07-11,11.90625,12.03125,11.625,11.71875,660000,0.0,0.0
41,1997-07-14,11.8125,11.875,11.34375,11.53125,755200,0.0,0.0
42,1997-07-15,11.75,11.796875,11.5625,11.6875,1074800,0.0,0.0
43,1997-07-16,11.84375,12.03125,11.78125,11.8125,1405200,0.0,0.0
44,1997-07-17,11.75,11.78125,11.15625,11.375,779600,0.0,0.0
45,1997-07-18,11.3125,11.375,11.0625,11.1875,682800,0.0,0.0
46,1997-07-21,11.4375,13.125,11.375,13.0,2265600,0.0,0.0
47,1997-07-22,12.96875,13.0,12.40625,12.625,848400,0.0,0.0
48,1997-07-23,12.8125,13.15625,12.5625,12.75,1230400,0.0,0.0
49,1997-07-24,12.75,12.90625,12.125,12.6875,1770800,0.0,0.0
50,1997-07-25,12.5625,12.6875,11.875,12.25,1020000,0.0,0.0
51,1997-07-28,12.3125,12.75,12.28125,12.5625,820000,0.0,0.0
52,1997-07-29,12.5,13.90625,12.5,13.75,1825600,0.0,0.0
53,1997-07-30,13.875,14.0,13.3125,13.421875,1452400,0.0,0.0
54,1997-07-31,13.796875,14.0,13.71875,13.8125,768400,0.0,0.0
55,1997-08-01,13.875,13.875,13.625,13.71875,731600,0.0,0.0
56,1997-08-04,13.8125,14.8125,13.625,14.8125,1486400,0.0,0.0
57,1997-08-05,15.125,17.1875,14.875,16.75,3539600,0.0,0.0
58,1997-08-06,16.84375,18.15625,16.84375,17.65625,4568800,0.0,0.0
59,1997-08-07,18.03125,18.34375,17.125,17.59375,3332000,0.0,0.0
60,1997-08-08,17.375,18.25,16.75,18.09375,2588000,0.0,0.0
61,1997-08-11,18.5,21.6875,18.4375,21.125,5896800,0.0,0.0
62,1997-08-12,20.75,20.921875,16.125,16.25,8958000,0.0,0.0
63,1997-08-13,16.84375,18.75,16.46875,16.9375,8773200,0.0,0.0
64,1997-08-14,17.0,17.59375,16.375,16.984375,5346000,0.0,0.0
65,1997-08-15,17.0625,18.25,16.96875,17.375,6084400,0.0,0.0
66,1997-08-18,17.78125,18.203125,17.375,18.0625,1975600,0.0,0.0
67,1997-08-19,18.34375,19.4375,18.21875,18.96875,3791600,0.0,0.0
68,1997-08-20,19.28125,20.71875,19.25,20.5,3644000,0.0,0.0
69,1997-08-21,20.96875,21.28125,20.6875,20.953125,2892400,0.0,0.0
70,1997-08-22,18.6875,20.875,18.28125,20.375,4807600,0.0,0.0
71,1997-08-25,21.0625,21.5,20.3125,20.765625,2894800,0.0,0.0
72,1997-08-26,20.34375,20.59375,19.875,19.875,1934400,0.0,0.0
73,1997-08-27,19.90625,20.375,19.0,19.6875,2648800,0.0,0.0
74,1997-08-28,19.28125,19.8125,19.03125,19.4375,2244400,0.0,0.0
75,1997-08-29,19.625,20.09375,19.25,19.875,1161200,0.0,0.0
76,1997-09-02,19.9921875,20.375,19.25,19.3125,1408800,0.0,0.0
77,1997-09-03,19.265625,19.96875,19.25,19.6875,1575600,0.0,0.0
78,1997-09-04,19.75,19.8125,19.28125,19.3125,748800,0.0,0.0
79,1997-09-05,19.5,19.53125,19.0,19.09375,1004000,0.0,0.0
80,1997-09-08,19.09375,19.125,17.6875,17.84375,3732800,0.0,0.0
81,1997-09-09,17.953125,18.4375,17.84375,17.96875,1441600,0.0,0.0
82,1997-09-10,17.9375,17.9375,17.53125,17.5625,1189200,0.0,0.0
83,1997-09-11,17.09375,17.09375,16.28125,16.40625,3639600,0.0,0.0
84,1997-09-12,16.828125,18.0625,16.828125,17.15625,2819600,0.0,0.0
85,1997-09-15,17.5,17.875,16.75,16.796875,1614400,0.0,0.0
86,1997-09-16,16.875,17.15625,16.25,16.53125,2237200,0.0,0.0
87,1997-09-17,16.71875,16.71875,16.25,16.375,1513200,0.0,0.0
88,1997-09-18,16.40625,16.5,16.0625,16.171875,1150800,0.0,0.0
89,1997-09-19,16.140625,16.15625,15.59375,15.65625,1418400,0.0,0.0
90,1997-09-22,15.359375,15.375,13.84375,14.359375,3907600,0.0,0.0
91,1997-09-23,13.375,13.953125,13.09375,13.15625,4109200,0.0,0.0
92,1997-09-24,12.6875,14.6875,12.625,14.1875,7423200,0.0,0.0
93,1997-09-25,14.3125,15.25,14.3125,14.71875,4551600,0.0,0.0
94,1997-09-26,14.9375,15.25,13.71875,13.84375,3062000,0.0,0.0
95,1997-09-29,13.9375,14.4375,13.71875,14.25,1794400,0.0,0.0
96,1997-09-30,14.421875,14.5625,13.90625,13.90625,666800,0.0,0.0
97,1997-10-01,14.21875,14.375,13.75,13.90625,875600,0.0,0.0
98,1997-10-02,13.875,14.34375,13.75,14.171875,694800,0.0,0.0
99,1997-10-03,14.28125,14.5,13.75,13.90625,568000,0.0,0.0
100,1997-10-06,13.84375,13.875,13.0,13.109375,1284400,0.0,0.0
101,1997-10-07,13.09375,14.15625,13.046875,14.0,1580400,0.0,0.0
102,1997-10-08,14.25,14.625,13.546875,14.578125,2118800,0.0,0.0
103,1997-10-09,14.5,14.71875,14.125,14.21875,918400,0.0,0.0
104,1997-10-10,14.25,14.375,13.71875,13.875,608400,0.0,0.0
105,1997-10-13,14.0,14.0625,13.5,13.6875,877600,0.0,0.0
106,1997-10-14,13.625,13.765625,13.0,13.125,1504400,0.0,0.0
107,1997-10-15,13.71875,14.65625,13.59375,14.609375,4317200,0.0,0.0
108,1997-10-16,14.875,14.9375,13.53125,13.625,2423200,0.0,0.0
109,1997-10-17,13.625,14.15625,13.0625,13.875,1375200,0.0,0.0
110,1997-10-20,14.25,14.359375,13.71875,14.21875,1438000,0.0,0.0
111,1997-10-21,14.21875,14.625,14.21875,14.359375,1313200,0.0,0.0
112,1997-10-22,14.375,14.8125,14.3125,14.8125,970800,0.0,0.0
113,1997-10-23,13.96875,14.765625,13.75,14.40625,1958800,0.0,0.0
114,1997-10-24,14.59375,14.65625,13.375,13.71875,1273600,0.0,0.0
115,1997-10-27,13.4375,14.0625,12.0625,12.15625,3033200,0.0,0.0
116,1997-10-28,11.0,13.125,10.9375,13.125,2636800,0.0,0.0
117,1997-10-29,13.53125,13.625,12.90625,13.15625,1401600,0.0,0.0
118,1997-10-30,12.4375,13.171875,12.1875,12.203125,1667200,0.0,0.0
119,1997-10-31,12.875,13.03125,12.375,12.4375,1290400,0.0,0.0
120,1997-11-03,12.875,13.34375,12.5625,13.1875,1126800,0.0,0.0
121,1997-11-04,13.25,13.25,12.5625,12.8125,623200,0.0,0.0
122,1997-11-05,13.0,13.59375,12.8125,13.0,1234000,0.0,0.0
123,1997-11-06,13.1875,13.25,12.5625,12.6875,836800,0.0,0.0
124,1997-11-07,11.875,12.75,11.875,12.15625,1318000,0.0,0.0
125,1997-11-10,12.0625,12.09375,11.0,11.25,4278000,0.0,0.0
126,1997-11-11,11.28125,11.28125,10.875,10.921875,1508000,0.0,0.0
127,1997-11-12,10.75,10.90625,10.0,10.015625,1469200,0.0,0.0
128,1997-11-13,10.4375,10.59375,9.21875,10.515625,2741200,0.0,0.0
129,1997-11-14,10.8125,11.25,10.625,10.6875,2064000,0.0,0.0
130,1997-11-17,11.3125,11.3125,10.4375,10.53125,2304400,0.0,0.0
131,1997-11-18,10.59375,10.65625,10.0,10.40625,986000,0.0,0.0
132,1997-11-19,10.21875,10.8125,10.203125,10.75,1140000,0.0,0.0
133,1997-11-20,11.25,15.25,11.25,15.234375,21082800,0.0,0.0
134,1997-11-21,15.6875,16.0,14.75,15.3125,11981600,0.0,0.0
135,1997-11-24,15.0625,15.0625,14.15625,14.28125,4267600,0.0,0.0
136,1997-11-25,14.5625,14.75,13.75,14.15625,4532400,0.0,0.0
137,1997-11-26,14.5625,14.625,13.71875,13.875,2943200,0.0,0.0
138,1997-11-28,13.8125,14.0,13.609375,13.953125,1134800,0.0,0.0
139,1997-12-01,14.34375,14.375,13.671875,14.25,2950800,0.0,0.0
140,1997-12-02,14.3125,14.3125,13.875,13.875,1887200,0.0,0.0
141,1997-12-03,13.90625,13.90625,13.1875,13.46875,2012000,0.0,0.0
142,1997-12-04,13.5625,13.5625,12.71875,12.78125,1425600,0.0,0.0
143,1997-12-05,12.75,13.375,12.75,13.03125,1934800,0.0,0.0
144,1997-12-08,13.25,14.1875,13.09375,14.03125,2453200,0.0,0.0
