,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,1973-10-23,0.08796762675046921,0.09540143104912592,0.08796762675046921,0.08796762675046921,611249,0.0,0.0
1,1973-10-24,0.08796757495892081,0.08796757495892081,0.08548983186483383,0.08548983186483383,686214,0.0,0.0
2,1973-10-25,0.08548986199334069,0.0867284486570433,0.08177296072244644,0.08177296072244644,530518,0.0,0.0
3,1973-10-26,0.08177292203733827,0.08301150811509098,0.07805602252483368,0.07805602252483368,380589,0.0,0.0
4,1973-10-29,0.07805606475213264,0.0792946514999444,0.07433859258890152,0.07433859258890152,709280,0.0,0.0
5,1973-10-30,0.07186085215937618,0.07186085215937618,0.06566620618104935,0.06566620618104935,461320,0.0,0.0
6,1973-10-31,0.0718608871102333,0.07681694868734283,0.0718608871102333,0.0718608871102333,651615,0.0,0.0
7,1973-11-01,0.0718608871102333,0.07681694868734283,0.0718608871102333,0.0718608871102333,190295,0.0,0.0
8,1973-11-02,0.07433859258890152,0.0792946514999444,0.07433859258890152,0.07433859258890152,478620,0.0,0.0
9,1973-11-05,0.07433859559742112,0.07557775303531414,0.06938310712575912,0.06938310712575912,121097,0.0,0.0
10,1973-11-06,0.06938310789603773,0.07186085215937618,0.06566620618104935,0.06566620618104935,259493,0.0,0.0
11,1973-11-07,0.06690477579832077,0.07186083369126037,0.06690477579832077,0.06690477579832077,184528,0.0,0.0
12,1973-11-08,0.06566612407265333,0.06566612407265333,0.0619492270052433,0.0619492270052433,138396,0.0,0.0
13,1973-11-09,0.0619492270052433,0.06566612407265333,0.0619492270052433,0.0619492270052433,305625,0.0,0.0
14,1973-11-12,0.06194929307104823,0.06566619410234625,0.060710135847330086,0.06071013584733009,57665,0.0,0.0
15,1973-11-13,0.06071012723147037,0.06194928427932983,0.059470970183610916,0.059470970183610916,403655,0.0,0.0
16,1973-11-14,0.05947098204481186,0.061949296634818685,0.05699324235320091,0.05699324235320091,155696,0.0,0.0
17,1973-11-15,0.05699324235320091,0.061949296634818685,0.05699324235320091,0.05699324235320091,138396,0.0,0.0
18,1973-11-16,0.059470970183610916,0.06442702773527331,0.059470970183610916,0.059470970183610916,328691,0.0,0.0
19,1973-11-19,0.059470970183610916,0.06194928427932983,0.059470970183610916,0.059470970183610916,155696,0.0,0.0
20,1973-11-20,0.05947098468725841,0.05947098468725841,0.05451492592692375,0.05451492592692375,386356,0.0,0.0
21,1973-11-21,0.05451489331690809,0.059470949112602305,0.05327631160616875,0.05327631160616875,86498,0.0,0.0
22,1973-11-23,0.05327631160616875,0.059470949112602305,0.05327631160616875,0.05327631160616875,259493,0.0,0.0
23,1973-11-26,0.053276345758646156,0.05451492826337128,0.04955944418907166,0.049559444189071655,155696,0.0,0.0
24,1973-11-27,0.049559435716684704,0.053276336650839876,0.04832027852535248,0.04832027852535248,178762,0.0,0.0
25,1973-11-28,0.04832027852535248,0.053276336650839876,0.04832027852535248,0.04832027852535248,17300,0.0,0.0
26,1973-11-29,0.04832028744453851,0.05079803164471514,0.04584254324436188,0.04584254324436188,63432,0.0,0.0
27,1973-11-30,0.04584252581477824,0.049559426021830444,0.04336421191692352,0.04336421191692352,109564,0.0,0.0
28,1973-12-03,0.04832027852535248,0.053276336650839876,0.04832027852535248,0.04832027852535248,369056,0.0,0.0
29,1973-12-04,0.04832028744453851,0.05079803164471514,0.04584254324436188,0.04584254324436188,501686,0.0,0.0
30,1973-12-05,0.04584254324436188,0.04955944486460024,0.04584254324436188,0.04584254324436188,415188,0.0,0.0
31,1973-12-06,0.04584254324436188,0.04955944486460024,0.04584254324436188,0.04584254324436188,5767,0.0,0.0
32,1973-12-07,0.04832027852535248,0.053276336650839876,0.04832027852535248,0.04832027852535248,17300,0.0,0.0
